qid,initial_pass1,n_flagged,K,flag_frac,wilson_lo,wilson_hi,mean_pass1,std_pass1,min_correct_of_32,ever_no_reward,class,pass1_seed1,pass1_seed2,pass1_seed3,pass1_seed4,pass1_seed5
20,0.0625,2,5,0.4,0.118,0.769,0.125,0.028,3,False,boundary,0.1562,0.125,0.0938,0.0938,0.1562
42,0.0625,2,5,0.4,0.118,0.769,0.1062,0.0375,2,False,boundary,0.125,0.1562,0.0625,0.125,0.0625
47,0.0312,3,5,0.6,0.231,0.882,0.0875,0.0459,1,False,boundary,0.0625,0.0625,0.0312,0.125,0.1562
48,0.5938,0,5,0.0,0.0,0.434,0.8125,0.0862,22,False,never_flagged,0.6875,0.75,0.9375,0.8438,0.8438
51,0.3438,0,5,0.0,0.0,0.434,0.3688,0.1053,6,False,never_flagged,0.3438,0.375,0.1875,0.4375,0.5
55,0.0312,0,5,0.0,0.0,0.434,0.3937,0.1244,6,False,never_flagged,0.5,0.3125,0.4688,0.5,0.1875
60,0.0,3,5,0.6,0.231,0.882,0.0813,0.0729,0,True,no_reward,0.0,0.0938,0.1875,0.125,0.0
65,0.875,0,5,0.0,0.0,0.434,1.0,0.0,32,False,never_flagged,1.0,1.0,1.0,1.0,1.0
66,0.0938,0,5,0.0,0.0,0.434,0.6562,0.0559,19,False,never_flagged,0.5938,0.7188,0.7188,0.5938,0.6562
67,0.0938,0,5,0.0,0.0,0.434,0.4938,0.1108,10,False,never_flagged,0.5312,0.5,0.3125,0.4688,0.6562
70,0.0,5,5,1.0,0.566,1.0,0.0,0.0,0,False,stable_unlearnable,0.0,0.0,0.0,0.0,0.0
78,0.0625,1,5,0.2,0.036,0.624,0.2188,0.0948,3,False,boundary,0.3125,0.0938,0.3438,0.1875,0.1562
98,0.0,5,5,1.0,0.566,1.0,0.0312,0.0342,0,False,stable_unlearnable,0.0,0.0312,0.0312,0.0938,0.0
101,0.0938,4,5,0.8,0.376,0.964,0.0563,0.0459,0,False,boundary,0.125,0.0938,0.0,0.0312,0.0312
104,0.0312,0,5,0.0,0.0,0.434,0.2313,0.0805,4,True,no_reward,0.125,0.2188,0.2188,0.2188,0.375
105,0.125,2,5,0.4,0.118,0.769,0.1688,0.0702,3,True,no_reward,0.2812,0.0938,0.1875,0.1875,0.0938
106,0.4688,0,5,0.0,0.0,0.434,1.0,0.0,32,False,never_flagged,1.0,1.0,1.0,1.0,1.0
118,0.0,5,5,1.0,0.566,1.0,0.0,0.0,0,True,no_reward,0.0,0.0,0.0,0.0,0.0
131,0.0,5,5,1.0,0.566,1.0,0.0,0.0,0,True,no_reward,0.0,0.0,0.0,0.0,0.0
132,0.9062,0,5,0.0,0.0,0.434,1.0,0.0,32,False,never_flagged,1.0,1.0,1.0,1.0,1.0
141,0.0,5,5,1.0,0.566,1.0,0.0,0.0,0,True,no_reward,0.0,0.0,0.0,0.0,0.0
142,0.2812,0,5,0.0,0.0,0.434,0.7438,0.0364,22,False,never_flagged,0.7188,0.75,0.7812,0.6875,0.7812
148,0.0938,0,5,0.0,0.0,0.434,0.2188,0.0593,4,True,no_reward,0.125,0.3125,0.2188,0.2188,0.2188
150,0.6875,0,5,0.0,0.0,0.434,1.0,0.0,32,False,never_flagged,1.0,1.0,1.0,1.0,1.0
153,0.0,5,5,1.0,0.566,1.0,0.0,0.0,0,True,no_reward,0.0,0.0,0.0,0.0,0.0
165,0.0,5,5,1.0,0.566,1.0,0.0312,0.0198,0,True,no_reward,0.0312,0.0625,0.0312,0.0312,0.0
220,0.0312,2,5,0.4,0.118,0.769,0.1125,0.058,1,True,no_reward,0.0625,0.1875,0.125,0.1562,0.0312
251,0.2812,0,5,0.0,0.0,0.434,0.85,0.1108,22,False,never_flagged,0.7812,0.9375,0.8438,0.6875,1.0
265,0.5625,0,5,0.0,0.0,0.434,0.9437,0.1125,23,False,never_flagged,1.0,1.0,0.7188,1.0,1.0
278,0.0312,2,5,0.4,0.118,0.769,0.1125,0.0729,1,False,boundary,0.1562,0.125,0.2188,0.0312,0.0312
288,0.6562,0,5,0.0,0.0,0.434,1.0,0.0,32,False,never_flagged,1.0,1.0,1.0,1.0,1.0
289,0.2812,0,5,0.0,0.0,0.434,0.825,0.1,22,False,never_flagged,0.7812,0.9688,0.6875,0.7812,0.9062
294,0.0625,2,5,0.4,0.118,0.769,0.1313,0.0573,2,False,boundary,0.1875,0.1562,0.1875,0.0625,0.0625
304,0.8438,0,5,0.0,0.0,0.434,1.0,0.0,32,False,never_flagged,1.0,1.0,1.0,1.0,1.0
316,0.4688,0,5,0.0,0.0,0.434,0.9313,0.0824,25,False,never_flagged,1.0,1.0,0.7812,0.9062,0.9688
321,0.4688,0,5,0.0,0.0,0.434,0.9812,0.025,30,False,never_flagged,1.0,1.0,0.9688,1.0,0.9375
325,0.0,5,5,1.0,0.566,1.0,0.0063,0.0125,0,True,no_reward,0.0,0.0,0.0312,0.0,0.0
345,0.75,0,5,0.0,0.0,0.434,0.7063,0.2473,11,False,never_flagged,0.9688,0.3438,0.625,1.0,0.5938
351,0.7812,0,5,0.0,0.0,0.434,0.8875,0.2097,15,False,never_flagged,1.0,0.4688,0.9688,1.0,1.0
354,0.2188,0,5,0.0,0.0,0.434,0.4625,0.1142,9,False,never_flagged,0.2812,0.4062,0.5,0.5,0.625
371,0.4062,0,5,0.0,0.0,0.434,0.9938,0.0125,31,False,never_flagged,1.0,1.0,1.0,1.0,0.9688
372,0.5938,0,5,0.0,0.0,0.434,0.9812,0.0153,31,False,never_flagged,1.0,0.9688,0.9688,0.9688,1.0
375,0.0625,5,5,1.0,0.566,1.0,0.0375,0.0459,0,True,no_reward,0.0,0.0938,0.0,0.0,0.0938
381,0.4062,0,5,0.0,0.0,0.434,0.7375,0.1111,19,False,never_flagged,0.7188,0.7188,0.5938,0.9375,0.7188
383,0.0,5,5,1.0,0.566,1.0,0.0312,0.0198,0,True,no_reward,0.0312,0.0625,0.0312,0.0,0.0312
388,0.0,2,5,0.4,0.118,0.769,0.1812,0.1108,2,False,boundary,0.1562,0.0625,0.0938,0.375,0.2188
400,0.0625,2,5,0.4,0.118,0.769,0.1187,0.0723,1,False,boundary,0.1875,0.1562,0.0312,0.1875,0.0312
404,0.0312,2,5,0.4,0.118,0.769,0.1437,0.094,1,False,boundary,0.125,0.0312,0.1562,0.3125,0.0938
407,0.4062,0,5,0.0,0.0,0.434,0.8375,0.1176,21,False,never_flagged,0.9688,0.75,0.9375,0.6562,0.875
417,0.4688,0,5,0.0,0.0,0.434,0.95,0.0319,29,False,never_flagged,0.9375,0.9062,0.9375,0.9688,1.0
418,0.5312,0,5,0.0,0.0,0.434,0.7937,0.1392,17,False,never_flagged,0.9062,0.8438,0.5312,0.7812,0.9062
442,0.2812,0,5,0.0,0.0,0.434,0.9313,0.0538,27,False,never_flagged,0.9375,0.8438,0.9688,0.9062,1.0
443,0.2188,0,5,0.0,0.0,0.434,0.5563,0.1837,10,False,never_flagged,0.3125,0.5938,0.875,0.5,0.5
466,0.0,5,5,1.0,0.566,1.0,0.0312,0.0198,0,True,no_reward,0.0312,0.0312,0.0312,0.0625,0.0
467,0.0312,3,5,0.6,0.231,0.882,0.0938,0.0815,0,True,no_reward,0.0312,0.2188,0.0625,0.1562,0.0
470,0.625,0,5,0.0,0.0,0.434,0.9375,0.0559,28,False,never_flagged,0.9375,0.875,0.875,1.0,1.0
477,0.0,5,5,1.0,0.566,1.0,0.05,0.025,1,True,no_reward,0.0312,0.0938,0.0312,0.0625,0.0312
487,0.0,3,5,0.6,0.231,0.882,0.0938,0.028,2,False,boundary,0.125,0.125,0.0625,0.0938,0.0625
489,0.0938,1,5,0.2,0.036,0.624,0.3187,0.1241,3,False,boundary,0.375,0.4375,0.2812,0.0938,0.4062
496,0.0,4,5,0.8,0.376,0.964,0.075,0.0508,0,False,boundary,0.1562,0.0938,0.0625,0.0,0.0625
502,0.25,0,5,0.0,0.0,0.434,0.5437,0.1275,12,False,never_flagged,0.625,0.6875,0.375,0.625,0.4062
510,0.0938,1,5,0.2,0.036,0.624,0.25,0.1369,2,False,boundary,0.0625,0.4375,0.1875,0.375,0.1875
514,0.0312,2,5,0.4,0.118,0.769,0.2313,0.1922,2,False,boundary,0.0938,0.25,0.1562,0.0625,0.5938
516,0.5625,0,5,0.0,0.0,0.434,0.9313,0.0538,27,False,never_flagged,0.9375,0.8438,0.9062,0.9688,1.0
